Lens ID,Abstract_trim_2_string,cluster
031-650-207-787-672,last decad research increas interest context depend natur human contextu maintain avail neutral object alway interwoven process product prerequisit knower first step toward systemat epistem context concept consid onto logic epistemolog methodolog dimens current research howev either contextu fulli implement ontolog ambit context transcend univers seem abandon epistemolog combin ontolog epistemolog argu phenom stipul leon manifesto exampl requir revis underli phenomenon concept relat known object know constitut applic specif meth tradit document often reli principl level ture context novel principl propos name level know integr methodolog plural,Cluster 08
033-140-945-207-53X,gener comput inconsist taxonomi strategi necessari taxonomi research combin histor perspect current predict futur trend breakthrough commun technolog analyz acm comput system mean visual map import achiev current effect visual classifi document acm digit technic view innov lie parallel use analysi unit class keyword spheric surfac compar themat semant map classifi document result tabl furthermor propos new method use content relat evalu origin scheme sum improv origin acm comput domain mean visual,Cluster 07
033-555-573-298-315,sear list head miller mccarthi 2010 first publish 1923 edit like head list apart list prefer prefer head pattern clear instruct exampl coin new head explicitli list key head form vital system coin new head propos key head design candid head describ far reach provis seem use subdivis prefer head everi prefer head potenti key head propos principl true class true narrow class type appli principl enorm enhanc capac list without ad even iota text size,Cluster 03
034-937-628-469-063,examin collect citat individu contribut social tag system liciou libraryth character person collect furnish variou form metadata arrang web display mean commun particular sensibl mold guid principl resourc select descript categor use sever analyt framework museum brief case interrog substanc mean express achiev collect express bibliographi consid case explor explicit rhetor perspect might purpos design express bibliographi,Cluster 03
039-572-877-788-682,extend abstract favor text dog yellow use still use bring back insight impart student teach control record cours whichev word chosen label scribbl margin note self keyword head tag remind particular passag relev scribbl note thought eloqu linguist wish rememb access later time mayb even thought occur read word someon pick text read passag note necessarili draw conclus insight mean scribbl word wilson 1968 remind text say necessarili reveal,Cluster 01
039-890-704-429-132,social tag laud voic commun free restrict dictat standard access tag allow mani perspect repres cost use deconstruct derrida argu absolut hospit requir ensur justic access inclus howev consequ becom host becom hostag ongo research explor derridean concept hospit relat social tag examin consequ uncondit inclus process discern constraint hospit order interpret kind other derrida 2000 75 call imposs decis mitig mean use social tag environ illustr,Cluster 01
040-208-896-050-485,articl concern ontolog applic activ connec tion drawn effort artifici intellig ai captur mean make access machin effort made use tool machin record build search retriev system practic use ai interest ontolog ontolog represent articl applic direct toward particularli problemat document type photograph argu ment motiv articl first ontolog system join ai techniqu catalog practic make possibl util higher level express describ photograph second system photograph capabl reason concept relationship potenti richer relev search result system util word match alon,Cluster 01
043-251-321-340-134,find recent digit archiv represent rais ethic concern digit archiv materi describ made avail use web archivist fundament oblig preserv protect authent integr record hold time respons promot use record fundament purpos archiv 2005 code ethic archivist ethic practic digit content digit archiv deepli embed contextu structur gener underrepres digit archiv system similarli ethic archivist detach digit item archiv context order make digit friendli access meet archivist oblig bring represent system togeth context content digit archiv better repres archiv materi locat use anyon purpos still remain authent evid life creator millar 2010 discuss find ethic implic relat digit archiv descript represent,Cluster 11
044-023-593-835-730,report investig search behaviour pattern nanosci nanotechnolog searcher reveal transact log analysi nanonetbas electron book digit examin pattern strategi nano searcher queri formul reformul explor extent interdisciplinar search queri use inspec compendex thesauri result show certain queri formul pattern associ search emerg interdisciplinari area nanotechnolog use multiword compound queri extens use search begin prefix nano hyphen spell variat larg number queri reformul use acronym result indic uniqu result map queri inspec code repres disciplin specif associ code repres physic result implic represent interfac design feder search digit multi databas,Cluster 02
048-107-503-236-974,korean decim describ standard system offici publish maintain korean associ trace brief histori modern south korea examin variou characterist problem detail social context usag korean influenc system characterist schedul major tabl newest edit make eight suggest recommend futur particular mainten uniqu nation gener experi south korea,Cluster 11
048-127-750-639-998,social tag system known folksonomi repres import web resourc discoveri enabl free unrestrict brows space folksonomi consist design tag assign howev import drawback express semant relationship either hierarch associ tag consequ use tag brows resourc requir move resourc anoth coincid establish meaning logic connect exist relat resourc suggest semant structur univers decim udc use complement support tag brows specif question investig use tag folksonomi udc facet udc match characterist document object tag folksonomi collect popular tag amazon libraryth delici 43thing investig univers natur udc examin univers topic facet cover divers human interest time interconnect form rich intric semant structur result suggest udc support folksonomi could implement resourc discoveri particular portal catalogu,Cluster 08
051-455-719-730-276,life surfac earth fragil deterior outsid influenc natur insid influenc human macro perspect nation state,Cluster 01
056-950-902-277-094,examin context onlin viewpoint group profession tag keyword descriptor collect academ journal articl tag citeulik analys descript statist informetr measur thesaur comparison show import use keyword group addit similar use enhanc support search brows tag keyword found match descriptor exactli match import expans lexicon found addit could use enhanc support search brows articl databas invalu data entri vocabulari emerg terminolog regular updat system addit suggest tag support organis associ task project make import connect tradit system classifi categori,Cluster 05
058-201-431-727-742,focu articl direct toward analysi system classifi feminist research text swedish bibliograph context articl,Cluster 02
062-086-201-884-316,domain analysi help visual semant intellectu content coher group domain domain group ontolog underli teleolog common hypothes epistemolog social semant spawn famili conceptu model much write recent second antholog model rais question whether coher domain form around famili domain analysi use visual semant content famili domain compar main compon group scholar practition result show common teleolog subtl surround implement famili model,Cluster 07
067-195-084-305-016,aim relat network theori terminolog model scale free network recent wide appli sinc effect use terminolog research oper principl network univers characterist complex system network govern gener law model scale free network view statist probabl model describ mathemat tool main featur everyth connect everyth everi node reachabl step start node phenomena call small world phenomenon exist linguist network gener law oper network enabl place issu languag use complex system relat reveal deeper connect phenomena help network embed realiz metaphor languag network structur basi method terminolog system likewis creat terminolog databas serv purpos easi versatil access specialis,Cluster 07
078-887-084-126-065,consid ethic concern surfac around hierarchi structur system order consid relationship semant structur argu separ design critiqu system close argument agenc intent ethic concern lead argu neutral stanc hierarchi,Cluster 11
086-157-478-708-338,2009 isko anniversari time review reflect might envisag forthcom year addit propos forth contribut desiderata appear urgent preliminari condit consider recognit fundament concept unit conceptu level word code verbal level implement distinct theori practic desideratum basi propos enunci proposit concern survey extant system thesauri mean order proposit envisag improv expert train regard curricula profession acknowledg refer profession hitherto rather neglect nation isko secretariat intern isko secretariat systemat survey relev concept serv model standard claim establish institut view consult effect anybodi interest isko help isko promot membership chapter mani countri possibl press intensif isko public activ plead scientif disciplin,Cluster 01
089-926-127-972-615,recent year semant wide use variou research particularli area relat technolog motiv appropri vision semant web underway might allow obtain better result queri web howev worth ask kind semant find semant web consid complex controversi endeavour context account semant reli main linguist order analyz semant scope technolog critic evalu spectrum propos ordin instrument model languag taxonom structur mention accord semant scale addit propos new extend spectrum articl suggest altern interpret aim clarifi use semant context final offer conclus regard semant semant web mention futur direct complementari,Cluster 07
093-549-532-693-584,conceptu analysi hypertext world wide web explor contrast metaphor network rhizom idea network influenc conceptu think web wider socio cultur influenc altern descript structur hypertext web interrupt dissip energi flow conclud web consid particular protocol technolog standard interlink technolog mediat servic dynam reorganis socio cultur system incept becom associ particular form technolog determin boundari properli constitut space technolog space person,Cluster 11
103-364-820-610-122,ontolog theori commit accept classifi number phenomena less specif vice versa tend reveal theoret outlook creator object descript relat given determin theori fallibl consensu rare implic consid theori view foundat bibliograph depend theori correspond scientif scholarli logic distinct other empir examin map common ancestor establish function criteria evalu involv oneself research produc given research alway less specif epistemolog ideal empiric ration historic pragmat evalu evalu epistemolog foundat research given tradit cognit view facet analyt view numer taxonom bibliometr domain analyt tradit connect epistemolog view consid domain analyt view fulli commit explor light substanti scholarli theori,Cluster 04
104-465-453-188-095,bibliograph relationship activ research area especi catalogu attempt examin map function requir bibliograph record bibliograph relationship tillett taxonomi bibliograph relationship assess congruenc conceptu model taxonomi bibliograph relationship chapter illustr tabl show consider congruenc taxonomi,Cluster 11
105-100-051-441-427,purpos essay demonstr mechan power around gender sexual alway bottom instead weight social disciplin among member sexual subcultur help creat often reflect nomenclatur desir sexual subcultur complex relationship domin cultur critic examin benchmark sexual nomenclatur queer subcultur find evid georg chauncey littl known analysi 1985 navi investig male homosexu newport naval train station world war era contemporari folksonom classifi cation represent queer desir xtube databas onlin pornographi social disciplin sexual cultur occur stabil nomenclatur social member overt intervent self understand newport xtube evid reveal complex social cultur structur among member sexual subcultur draw attent particular variou mode sexual relationship mode particular configur sexual ident process allow reassess first presupposit folksonomi free disciplin allow emancipatori potenti second prevail binari understand sexual nomenclatur either bottom,Cluster 02
112-419-075-777-708,structur depend upon domain analyt process determin ontolog imper boundari object use multipl domain understood ontolog clash cognit analysi effect qualit methodolog domain analysi group peopl togeth cwa use recent understand ontolog human resourc firm boundari object taxonomi emerg narr analysi individu analysi,Cluster 06
129-202-026-489-574,architectur emerg disciplin merg concept sever disciplin librarianship,Cluster 04
135-514-499-218-272,jen erik mai associ professor faculti univers toronto previous serv vice dean act dean research interest lie broad area represent current scholarship question conceptu foundat seek establish epistemolog foundat accept raliti interpret across commun publish conceptu methodolog sue represent semiot theoret framework theori domain analysi cognit analysi recent public explor trust mai jen erik folksonomi new order digit disord refer abstract represent histor done profe sional rise social media spread notion done collabor collabor entail chang role profession goal valu system explor notion role profession chang environ peopl particip repr sentat question tradit role profession argu system must design facilit trust folksonomi system come collect interpret mean product,Cluster 08
138-044-330-708-116,import conceptu chang time biolog definit abandon mechanist hardcor advanc fast furiou along dimens biolog realli becom inspir new think new kind paradigm beyond discuss past decad regard new bioinform inter multi disciplinari relationship among propos herein scientom biolog inspir scientom contempl multifari interact scientif disciplin recombin vantag histor expans recapitul upon collect cognit dynam alreadi realiz along evolutionari expans live system mostli mean domain recombin process cellular genom occur neural insid cerebr workspac human brain advanc mammal scientom understood new research domain captur ongo process scientif expans recombin mean genom inspir softwar like new culturom explain peculiar interact map scientometr increas complex research amidst scientif technolog cumul achiev beyond polar classic posit reduction holism scientom could propos new conceptu tool scientif integr plan research manag,Cluster 07
139-017-681-927-137,articl compris literatur review conceptu analysi topic map iso standard repres structur resourc accord principl use main principl disciplin show topic map propos ontolog model independ technolog topic map constitut bibliograph meta languag abl repres extend integr almost exist system standard gener model applic digit content web report inventori current applic topic map archiv museum digit human final direct research suggest relat topic map main research trend,Cluster 07
145-431-224-278-742,recent revis udc class aim implement facet mani compound class remov main tabl radic revis class particularli medicin religion introduc rigor analysi clearer sens citat order build compound class accord logic system syntax facet mean formal relationship make explicit machin recognit bliss bibliograph sourc udc class mention terminolog encod automat gener hierarch associ relationship nevertheless difficulti encount vocabulari control similar phenomenon observ udc current reveal vocabulari human notabl human handl semant complex achiev balanc rigour structur complex natur languag express remain partial unresolv fertil research,Cluster 07
146-586-701-703-282,strong philosoph tradit cognit result recent discours disciplin argu perspectivist concept,Cluster 01
165-093-106-271-191,mani year web becam import media diffus multilingu resourc linguist still form major obstacl scientif cultur educ exchang besid linguist divers multitud databas collect contain document variou format advers affect retriev process describ research project aim verifi exist relat tradit imag recommend use control vocabulari free imag use uncontrol vocabulari respect perform imag retriev multilingu context research compar imag retriev context monolingu context languag queri languag multilingu context languag queri languag research indic whether surpass effect effici satisfact imag searcher context problem statement research project experi carri describ data collect method,Cluster 00
182-158-356-687-801,investig main structur appli seven epitom qilu first document chines catalog complet year common era close examin partial extant text structur catalog histor record secondari sourc identifi princip method scheme dichotomi rank theoriz compil catalog xin use classic confucian principl guid construct set rank dichotomi manifest main class sequenc result success achiev chief goal intend catalog proclaim classic intellectu design made catalog numer successor imperi china thousand year effect intellectu polit social control,Cluster 07
012-309-807-113-075,sao paulo state univ unesp grad informat sci hygino muzzi filho marilia brazil,Cluster 09
013-764-041-525-607,deal design support system yogic use special design system yoga glossari yogic thesauru machin readabl sanskrit english bilingu glossari thesauru yogic use greenston digit softwar web portal yogic commun list major yoga institut research center glossari thesauri yoga visual map googl group forum onlin digit repositori onlin public access catalog relat disciplin yoga,Cluster 01
016-199-714-006-263,larg topic map creat facilit understand impact 2010 gulf mexico spill incid text topic map graphic topic map complement form evalu summ evalu conduct qualit assess use usabl larg topic map self regul learn tool topic map found use fusion discoveri use undertak interdisciplinari multidisciplinari research report usabl issu graphic topic map overload clutter display topic display larg number topic associ topic text topic map found easier use due display topic relationship refer linear view,Cluster 07
017-784-773-403-422,claim dewey decim system treatment indigen peopl u focu margin ghettoiz historic diaspor topic statu indigen peopl sovereign nation investig treatment indigen peopl u reveal central concern ghettoiz historic born diaspor turn legitim resolv concern current failur recogn indigen peopl sovereign nation lead propos seri expans tabl geograph area indigen peopl sovereign mismatch indigen peopl u lead suppli manual note tabl name tribe tabl concept sovereign nation tabl concept,Cluster 07
034-244-957-935-06X,propos high level analysi implic big data organis organis system koss confront current debat commun relev univers bibliograph thesauru web ongo discuss epistemolog methodolog assumpt underli data driven inquiri essenc big data remov humanli construct koss howev ongo transform product process entail big data web pressur commun rethink standpoint koss design essenti move lay apodict know time adapt new world social natur scientif creat maxim flexibl schema facet rather aristotelean adapt chang natur output social natur extent turn affect advent big data theoret entail shift pure universalist norm descript bottom inclus divers viewpoint methodolog mean strike right balanc seemingli oppos modal design koss necess hand incorpor autom techniqu solicit contribut amateur crowdsourc via web platform,Cluster 08
036-074-742-305-080,increas amount imag upload share retriev web larg imag collect properli store easili retriev tag key role imag retriev difficult upload imag undertak qualiti tag assign potenti futur retriev other reli profession keyword assign practic option larg imag collect due resourc constraint although number content imag retriev system launch demonstr suffici util larg scale imag sourc web usual use supplement exist text imag retriev system altern profession imag social tag major type photo share network imag label game analyz applic evalu use semant view investig whether social tag behaviour manag find shown social tag gener sizeabl number tag classifi interpret imag tag behaviour manag adjust natur depend tag guidelin,Cluster 00
037-377-525-775-574,diagnost statist manual mental disord dsm mental disord publish american psychiatr associ apa entri discuss current use dsm histori process dsm revis conceptu structur common critic,Cluster 11
039-211-082-250-412,sao paulo state univ unesp dept informat sci hygino muzzi filho 17525900 sao paulo marilia brazil,Cluster 09
045-139-449-368-358,univ estadu paulista unesp marilia hygino muzzi filho 17525900 marilia brazil,Cluster 09
046-402-144-705-650,autom method around sever decad exponenti growth world wide web forefront research commun sever identifi machin learn algorithm allow comput improv perform learn exist data document cluster algorithm unsupervis document autom topic extract string match algorithm match given string larger text aim automat textual document hierarch structur brows string match test use control vocabulari contain select defin correspond concept result impli appropri control vocabulari suffici number entri design class could solut autom control vocabulari appropri hierarch structur time brows structur collect automat classifi document,Cluster 00
053-639-636-683-581,toward understand symbol aspect profession analysi nurs domain,Cluster 06
059-445-824-916-322,sao paulo state univ unesp grad informat sci hygino muzzi filho sao paulo brazil,Cluster 09
068-575-306-450-958,model bibliograph entiti promin activ current model bibliograph entiti function requir bibliograph record bibliograph framework bibfram take inspir data model method comput scientist mid 1970 seem model bibliograph entiti activ recent vintag howev possibl find exampl bibliograph model earlier period purpos draw attent model outlin earli centuri british theorist wyndham hulm essay principl book 1911 1912 hulm forth variou attribut book conceiv classifi first divid accident insepar attribut accident attribut subdivid edit level copi level attribut insepar attitud physic physic attribut comparison hulm attribut bibfram reveal class attribut hulm correspond group attribut associ bibliograph entiti model later model assum exist bibliograph entiti abstract hierarchi among attribut distribut wherea hulm posit singl entiti book whose variou aspect cluster class attribut hulm model offer interest altern current assumpt conceptu relationship attribut entiti bibliograph univers,Cluster 10
090-891-932-202-646,variou kind organis thesauri routin use label tag multimedia content imag music support retriev search content outlin case particular focus semant gap content concept multimedia retriev survey vocabulari use multimedia retriev argu techniqu thesauri forese futur order support multimedia content particular argu artifici intellig techniqu matur enough solv problem multimedia conceptu abl replac human forese futur,Cluster 01
093-946-427-403-951,pinto virginia bent rabelo camila regina oliveira girao igor peixoto torr snome ct standard languag represent patient record alemanha 2014,Cluster 11
100-758-379-277-21X,sao paulo state univ unesp dept informat sci hygino muzzi filho 17525900 sao paulo marilia brazil,Cluster 09
104-511-034-288-619,start contribut greater examin interrog exist practic harm whether harm intent accident inher unavoid evil transit movement propos inventori manifest implic product suffer system construct taxonomi harm theoret underpin guid ontolog commit recognit problem harm system taxonomi harm around main question happen particip affect aim heighten awar violenc name practic carri unearth social condit motiv contribut reinforc system advoc intent ethic practic achiev minim level harm,Cluster 08
104-626-130-571-406,sao paulo state univ unesp grad informat sci hygino muzzi filho 17525900 marilia brazil,Cluster 09
114-672-389-593-030,depart sao paulo state univers unesp hygino mumi filho manila,Cluster 09
116-584-634-731-701,research suggest across sector wast signific amount time look often fail leverag respons mani deploy form enterpris search improv findabl debat persist whether thesauri manual autom machin learn techniqu use enhanc discoveri addit extent system enhanc discoveri inde blind new remain moot industri use case use repres draw prior research theoret model aim overcom shortcom synergist model could help conceptu manual versu automat debat mani enterpris accommod broader rang enabl enterpris effect manag strategi tension often perceiv mutual exclus compet certain aspect theoret model transfer industri area research articl select best intern societi isko confer onlin iskouk content best world highlight synergi combin model autom,Cluster 05
119-828-100-009-826,articl consid particularli knotti aspect classifi notat music instrument ensembl ensemblesi defin music written multipl player player facet analysi use examin area music basi model classifi ensembl conceptu analysi aid exampl drawn scheme british catalogu music bcmc flexibl first explor reveal conceptu facet classifi instrument ensembl omiss facet caus issu scheme next type relationship pair facet delin hierarch associ relationship ensembl depict novel seri inter connect relationship facet final articl ascertain exactli count introduc potenti extra set facet pertain perform hand facet analysi help creat model classifi instrument ensembl novel solut histor problemat area music suggest potenti generaliz new think complex relationship facet,Cluster 05
120-767-088-360-769,give overview histori structur electron thesauri produc maintain getti research institut describ evolut art architectur thesauru getti thesauru geograph name union list artist name ulan multilingu cross cultur system factor make uniqu potenti express link open data lod play key role semant web,Cluster 02
122-790-951-486-150,graduat school sao paulo state univers unesp avenida hygino muzzi filho,Cluster 09
127-475-456-358-110,depart sao paulo state univers unesp hygino muzzi filho,Cluster 09
127-655-016-585-334,propos preliminari research divid among epistemolog theori methodolog plu sphere research design critiqu situat metatheoret framework drawn sociolog thought exampl along preliminari briefli describ comparison tool use demonstr overlap diverg cognat discours ontolog engin,Cluster 03
129-335-229-947-343,purpos discuss ethic consider system light children perspect appli previou literatur smiraglia bibliocentr 2009 bhaba third space theori 1994 vygotski zone proxim 1978 tenni ethic rational 2013 given lack attent consider system children absurd claim children domain tend treat margin group find children voic system system design question regard ethic consider discuss contribut elev awar current problem system children bring ethic attent system children,Cluster 03
129-504-756-103-235,research academ program sao paulo state univers unesp hygino muzzi filho,Cluster 09
130-345-560-495-003,sao paulo state univ unesp grad informat sci hygino muzzi filho 7378 17525900 marilia brazil,Cluster 09
136-929-137-424-66X,autom challeng research issu mani year receiv particular attent past decad due rapid increas digit document frequent autom machin learn howev requir train document perform new document similar enough former explor string match algorithm control vocabulari requir train document instead reus intellectu creat control vocabulari engin thesauru scheme match titl abstract engin compendex databas simpl string match enhanc sever method weight scheme cut exclus certain enrich control vocabulari automat extract best result recal control vocabulari enrich new 79 precis certain exclud precis individu class 98 result compar state art machin learn algorithm,Cluster 10
166-898-814-966-01X,depart sao paulo state univers unesp graduat school hygino muzzi filho,Cluster 09
176-234-799-872-074,sao paulo state univers unesp univ estadu paulista depart hygino muzzi filho,Cluster 09
183-733-118-359-209,collect crowdsourc popular method cultur heritag institut comment free text format especi propag empow influenc,Cluster 02
185-847-512-601-188,analyt devic domain analysi claim domain analysi cumul transfer definit domain must written establish definit axe consid area modul degre special axe serv analyt devic domain analyst delin domain analysi,Cluster 06
002-227-810-181-405,articl definit alphabet relat concept trace histor challeng cover analog digit media introduc basic principl standard norm guidelin function alphabet consid relat altern systemat arrang,Cluster 11
006-920-773-223-354,aim analys tag libraryth web page tag cloud libraryth servic assess libraryth tag moder limit size tag cloud catalogu affect descript resourc mail survey conduct personnel libraryth result compar tag twenti fiction book collect catalogu dispar tag cloud size libraryth web page data analys use modifi version golder huberman tag categori 2006 result show libraryth claim remov inher person tag sever type tag found discard occasion certain type tag book exclud anoth comparison tag cloud size suggest larger tag cloud pronounc pictur regard content book cost increas number tag synonym redund,Cluster 05
014-665-421-131-071,novelti claim research consid evalu criterion supplement citat foundat research evalu perspect innov propos automat extract innov idea abstract technolog engin extract gram candid speech tag determin whether novel check scopu databas determin whether ever previous moreov discuss distribut innov idea abstract structur improv perform exclud noisi gram list word list research descript characterist select abstract articl publish 2011 2017 topic semant analysi experiment text exclud noisi gram consid distribut innov idea abstract suitabl combin gram effect improv perform automat innov idea extract word citat analysi innov idea extract aim identifi previous publish,Cluster 07
019-178-979-244-511,discuss hornbostel sach music instrument system origin design music instrument book instrument first publish german 1914 hornbostel sach domin organolog discours practic sinc creation articl analys scheme context background version impact posit hornbostel sach histori instrument explor follow detail analysi mechan scheme decim notat influenti broad categori scheme warrant typograph layout version histori scheme outlin relationship version visualis translat introduct electrophon categori music instrument museum onlin mimo version design digit environ recept hornbostel sach analys usag critic impact consid domin organolog research practic centuri shown hornbostel sach signific influenc bibliograph music,Cluster 11
023-752-023-695-957,trace discuss around ethic issu artifici intellig consid human affect use machin learn phenomenon discrimin machin ethic seen inherit human either use bias data semant inher intellectu built tool sourc intellig agent kind bias observ ai compar identifi use religi adher exampl commun potenti margin practic demonstr given appar religi prejudic inherit sourc materi larg databas deploy wide comput linguist automat method address problem discuss model moral process neuroscientif understand brain function question pose whether possibl model religi belief similar robot futur ethic religi sens address problem prejudic,Cluster 10
025-832-836-773-820,ranganathan credit introduct facet toward middl twentieth centuri facet tradit use document collect express complex digit world act filter facilit navig improv retriev popular mean definit character concept establish inde sever conceptu facet exist articl overview formal definit found literatur follow discuss common conceptu facet process product natur function object navig,Cluster 08
026-048-467-239-979,remix bricolag recogn primari mode creation contemporari digit cultur archiv arrang repres form bricolag archivist practic year record accord proven archivist engag creation archiv theori hold record creat output social bureaucrat process archiv descript could serv form archiv record bear evid process archiv arrang current participatori commun archiv descript urgent requir evidenti record process commun consult profession mediat examin canadian commun participatori archiv project project name archiv canada draw upon inuit commun contribut augment often spars sometim offens descript histor photo arctic peopl sex databas univers manitoba sex activist creat appli tag folksonomi collect websit organiz record news media analysi divers commun project reveal current descript make difficult distinguish profession commun contribut arrang descript propos make contribut appar,Cluster 08
026-982-172-464-821,narci nation academ research collabor system nation research portal netherland data research archiv govern narci current instanti date 2015 current made class broadli interdisciplinari area narci design specif care content narci data portal mostli repres anomal situat visibl ontolog human occupi divis place life treatment interdisciplinar separ class asid interdisciplinari dump narci databas use analyz popul narci life occupi narci databas framework research network system reveal narci databas object laps output entiti attribut ontolog narci occup narci support vital research portal turn support nation coordin research effort design better inter institut commun scholarli product institut domain depend cultur imper narci incorpor exampl polit fund disciplin best repres perhap unintend consequ encapsul forc view trajectori discuss regard continu narci ident interoper interdisciplinar synthesi,Cluster 02
030-902-854-635-052,ingetraut dahlberg essenti introduc shape main engin found scientif associ societi intern societi journal intern 2017 ingetraut dahlberg age nineti year life data scientif contribut,Cluster 05
032-050-236-233-836,propos ontolog build method call human centric facet ontolog construct hcfoc hcfoc use human centric improvis idea select dissemin deal context ontolog construct process make use facet analysi analytico synthet novel fusion contribut origin hcfoc distinguish exist ontolog construct methodolog hcfoc ontolog tourism domain design use prot ontolog editor hcfoc methodolog necessari flexibl extens robust facilit captur background model tourism ontolog abl deal context tourist precis evid result queri success use domain techniqu comput help realiz desir purpos ontolog construct process envisag hcfoc implic ontolog demonstr tourism ontolog support tourism retriev system,Cluster 08
033-950-497-342-66X,aim identifi profil research domain googl scholar citat investig sociolog ontolog dimens sociolog dimens relat declar research interest fall scope domain ontolog dimens concept domain analysi use methodolog framework search conduct use keyword order creat list scholar declar domain research interest googl scholar profil next search publish journal 2000 2019 conduct result show publicli avail analysi affili institut show major respect usa brazil india ontolog dimens domain examin keyword attach frequent use keyword identifi use network analysi five cluster repres main area interest extract,Cluster 02
034-374-636-579-338,fiction content analysi retriev interest specif topic major reason extens use fiction multimod interpret natur fiction primari challeng analysi fiction content singl mean analys analysi ongo process involv interact text produc reader societi interact occur furthermor audienc specif taken consider articl explor topic fiction broad analyt overview literatur describ sever experiment development project analysi fiction content tradit fiction mainli factual aspect expand handl aspect fiction attempt made vocabulari fiction major scheme use genr languag cultur fiction subdivid fiction subclass evolut shelf fiction appear type digit tool revolution fiction make possibl integr fiction,Cluster 07
039-088-632-836-477,instructor master program observ sharp increas student desir adopt reader interest genref school fiction collect order better understand trend research interview seven school librarian regard motiv genrefi fiction collect challeng encount genref process benefit perceiv result implement genref data suggest librarian interest genref stem mostli lack time help individu student find materi lack time student given instruct day explor fiction collect particip felt reclassifi fiction collect genr gave student ownership fiction collect allow find materi genuin interest signific challeng librarian face reorgan process speak challeng regard librarian attempt access divers materi patron,Cluster 00
050-238-052-849-254,consid distinct disciplinari focu strong connect intellectu domain philosophi comput psycholog sociolog given inher interdisciplinar ask might map physic cultur intellectu geographi commun look like particip disciplin scholarli discuss locat geograph intellectu use unit authorship journal nexu activ pattern authorship identifi cultur characterist appli len explor particip intern convers world bank gni capita estim use compar rel wealth countri hofsted individu dimens identifi understand attribut countri whose scholar particip dialog descript statist gener excel data visual render tableau public tagcrowd current project offer method examin intern interdisciplinari suggest potenti analyz interdisciplinari area larger disciplin,Cluster 05
052-670-916-661-239,goal taxonomi earthquak respons recoveri use onlin resourc share earthquak relat onlin resourc constructivist interpretivist research paradigm use combin bottom use build taxonomi facet analysi disast manag timefram disast manag modular design perform design taxonomi case done demonstr use taxonomi share facet taxonomi use onlin brows navig use tag onlin resourc support search creat common languag earthquak manag stakehold share level categori taxonomi appli manag type disast taxonomi implic earthquak onlin manag manag disast manag use build taxonomi manag onlin resourc topic variou type time sensit disast respons propos common languag share disast great social relev,Cluster 08
053-719-795-895-127,recent technolog increas use machin learn solv mani problem mani retriev multimedia retriev problem repres signific challeng machin learn technolog solut problem still address use appropri ai techniqu review technolog perspect use machin learn conjunct address multimedia semant gap multimedia remain signific problem solut mani year howev new technolog allow use machin learn multimedia search system servic specif argu improv detect class low level featur imag music video use conjunct tag label multimedia content better retriev perform overview use scheme machin learn make recommend profession use technolog techniqu solv multimedia problem introduc five step process model extract featur multimedia object step step machin learn step merg togeth step creat multimedia object step overview step creat applic util multimedia object step maintain updat databas featur object step,Cluster 00
054-076-780-075-898,deliber creat entiti intend commun consist abstract intellectu content distinct object carrier import lie squar problem retriev mentefact intellectu mental construct serv artifact cultur aris mean abstract everi level creator concept recept inher consum kind object phenomenon instanti realiz time research indic typolog instanti problem retriev simultan colloc disambigu larg set instanti catalog bibliographc tradit stipul alphabetico class arrang authorship principl entiti relationship schema enhanc control futur catalog incorpor frbroo empir precis model entiti object schema represent system,Cluster 10
057-197-413-657-247,articl build previou critic analyz aspect research evalu system valid czech republ 2017 articl focus evalu articl journal relationship call alloc system amount done use model distribut result gener support conclus origin,Cluster 07
061-894-521-034-918,despit principl proven guid element archiv still prescind conceptu purpos greater clariti object archiv fundament aspect sediment archiv discurs commun scope articl aim defin conceptu framework archiv use dahlberg concept theori vein establish nomin concept definiendum archiv seek analyz definit compos insepar definien concept fond documentari form document creation context demonstr archiv defin reunion indivis facet archiv bond contempl,Cluster 03
066-162-924-625-788,modern mathemat occur larger framework project receiv sustain attent period 1870 earli catalogu carri background broad nineteenth centuri interest explor view period concern posit mathemat overal scheme scope mathemat intern mathemat examin mathemat book classifi gener level level particular area analysi focu congress variou iter 1905 articl end examin mathemat scheme employ review servic mathemat review unit state zentralblatt germani,Cluster 05
071-572-690-596-47X,aim articl first necessari background investig disciplin histori perspect secondli select exampl analyz system koss view theori histori literatur review epistemolog analysi preliminari analysi histori select univers polish koss kaba head nation poland descriptor research restrict high level concept historiograph metaphor coin wojciech wrzosek util analyz koss analysi structur koss practic select histori book perform particular emphasi place upon requir classic classic historiographi context although historiograph metaphor given wrzosek help analysi improv koss seem broad charact creator gener guidelin histor research multidimension gener remark articl supplement depth theoret empir analys historiographi,Cluster 04
073-054-463-858-866,system use social construct conceiv euro american context retriev western materi social construct west effect koss limit come retriev western materi librarian respond ask make western materi access western materi access western western materi either proposit case practic forward librarian use profession agenc exist digit technolog exercis social justic specif demonstr design special enrich digit collect hypertext featur enhanc access western materi,Cluster 03
